"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"918","朝霞市","消火器","スプレー式","","","","◎","","","","","○","○","ボンベ式は不可。","事故の原因となるため、必ず中身を使い切ってください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"919","朝霞市","消火栓ホース","","","","","","","","","","","◎","",""
"920","朝霞市","浄化槽","","","","","","","","","","","◎","",""
"921","朝霞市","浄化槽用エアーポンプ","30cm未満","","","◎","","","","","☆","","○","30cm以上のものは不可。",""
"922","朝霞市","昇華転写紙(捺染紙、アイロンプリント紙)","","","◎","","","","","","","","","",""
"923","朝霞市","定規","","木製","◎","","","","","","","","","",""
"924","朝霞市","定規","","プラスチック製、金属製","","◎","","","","","","","","",""
"925","朝霞市","将棋駒","","木製","◎","","","","","","","","","",""
"926","朝霞市","将棋駒","","プラスチック製","","◎","","","","","","","","",""
"927","朝霞市","将棋盤","厚み10cm未満","木製","","◎","","","","","","","○","厚み10cm以上のもの(脚付きタイプ)は不可。",""
"928","朝霞市","将棋盤","","プラスチック製、ガラス製","","◎","","","","","","","○","厚み10cm以上のもの(脚付きタイプ)は不可。",""
"929","朝霞市","将棋盤","厚み2cm未満","金属製","","◎","","","","","","","○","厚み2cm以上のものは不可。",""
"930","朝霞市","焼却炉","","","","","","","","","","","◎","",""
"931","朝霞市","状差し","壁掛け式","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"932","朝霞市","状差し","文房具","","","◎","","","","","","","","",""
"933","朝霞市","抄色紙","","","◎","","","","","","","","","",""
"934","朝霞市","障子紙","","","◎","","","","","","","","","","50cm未満に切ってください。"
"935","朝霞市","障子戸","","","","","","","","◎","","","○","ガラス入りは不可",""
"936","朝霞市","消臭剤","スプレー缶","","","","◎","","","","","○","","","事故の原因となるため、必ず中身を使い切ってください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"937","朝霞市","賞状筒","","紙製","◎","","","","","","","","","",""
"938","朝霞市","賞状筒","","プラスチック製、金属製","","◎","","","","","","","","",""
"939","朝霞市","賞状用紙","","","","","","","◎","","","","","",""
"940","朝霞市","浄水器","蛇口直結型、ポット型、据置型(カウンタートップ)","","","◎","","","","○","☆","","○","ビルトイン型(アンダーシンク)、逆浸透膜浄水器(RO浄水器)、セントラル型(元栓取付型)は不可。","電池式は電池を取り外してください。50cm以上のものは粗大ごみ。"
"941","朝霞市","消石灰","","","","","","","","","","","◎","",""
"942","朝霞市","小動物死体","","","◎","","","","","","","","","","飼い犬、飼い猫などの小動物死体は、クリーンセンターへ直接お持ちになるか、収集を希望される場合は、クリーンセンター(℡048-456-1593)にお問い合わせください(直接搬入、収集ともに有料)。なお、供養を希望される場合は、ペット専門の霊園等にご相談ください。"
"943","朝霞市","消毒薬","液体","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"944","朝霞市","樟脳(しょうのう)","衣類用防虫剤","","◎","","","","","","","","","",""
"945","朝霞市","乗馬マシーン(ロデオマシーン)","健康器具","","","","","","","◎","","","","",""
"946","朝霞市","常備灯","","","","◎","〇","","","","☆","","","充電池内蔵式は有害ごみ","電池を取り外してください。"
"947","朝霞市","照明器具","","","","◎","○","","","○","☆","","","充電池内蔵式は有害ごみ","50cm未満のものは不燃ごみ。蛍光管、電球を取り外してください。"
"948","朝霞市","醤油差し","卓上用","","","◎","","","","","","","","","中身を使い切り、容器の中を軽く洗ってください。"
"949","朝霞市","じょうろ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"950","朝霞市","ショール","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"951","朝霞市","食用油","","","◎","","","","","","","","○","液体のままのものは不可。","固めるか古紙、古布などに染み込ませてください。"
"952","朝霞市","食用油の容器","","プラスチック製","◎","","","","","","","","","","中身は使い切ってください。"
"953","朝霞市","食用油の容器","","ガラス製","","◎","","","","","","","","","中身は使い切ってください。"
"954","朝霞市","食用油の容器","一斗缶","金属製","","","","","","","","","◎","",""
"955","朝霞市","食料品(菓子類、調味料を含む)の容器","","銀紙","◎","","","","","","","","","",""
"956","朝霞市","食料品(菓子類、調味料を含む)の容器","","紙製","○","","","","◎","","","","","","汚れの取れないもの、匂いのついているもの、防水加工されているものは可燃ごみ。"
"957","朝霞市","食料品(菓子類、調味料を含む)の容器","","プラスチック製","○","","","◎","","","","","","","容器の中を洗ってください。汚れが取れないものは可燃ごみ。"
"958","朝霞市","食料品(菓子類、調味料を含む)の容器","","発泡スチロール製","○","","","◎","","","","","","","容器の中を洗ってください。汚れが取れないものは可燃ごみ。"
"959","朝霞市","食料品(菓子類、調味料を含む)の容器","","ビニールチューブ製","○","","","◎","","","","","","","中身を使い切り、容器の中を洗ってください。汚れが落ちないものは可燃ごみ。"
"960","朝霞市","食料品(菓子類、調味料を含む)の容器","ペットボトル","","","","","","◎","","","","","","容器の中を軽く洗ってください。"
"961","朝霞市","食料品(菓子類、調味料を含む)の容器","缶","","","○","","","◎","","","","","","容器の中を洗ってください。汚れが取れないものは不燃ごみ。"
"962","朝霞市","食料品残渣(残飯)","","","◎","","","","","","","","","","絞るなどよく水気を切って出してください。"
"963","朝霞市","食料品トレイ","","","","","","◎","","","","","","","容器を軽く洗ってください。"
"964","朝霞市","食料品保存容器","密閉式","","","◎","","","","","","","","",""
"965","朝霞市","除光液の容器","","","","◎","","","","","","","","","中身は使い切ってください。"
"966","朝霞市","除湿機","","","","○","","","","◎","☆","","","","50cm未満のものは不燃ごみ。"
"967","朝霞市","除湿剤の容器","","プラスチック製","○","","","◎","","","","","","","容器の中の水を捨ててください。プラマークがあり、汚れや匂いとれないものは可燃ごみ。"
"968","朝霞市","除湿剤(シリカゲル)","食料品用等","","◎","","","","","","","","","",""
"969","朝霞市","除草剤の容器","","プラスチック製","○","","","◎","","","","","","","必ず中身を使い切ってください。プラマークがあり、汚れや匂いとれないものは可燃ごみ。"
"970","朝霞市","除草シート","","","○","","","","","◎","","","○","仕事で使用したものは不可","50cm未満に切れば可燃ごみ。"
"971","朝霞市","食器","","プラスチック製、ガラス製、金属製、陶磁器製","","◎","","","","","","","","",""
"972","朝霞市","食器","","紙製、木製","◎","","","","","","","","","",""
"973","朝霞市","食器洗い乾燥機","","","","○","","","","◎","","","○","作り付けのものは不可。","50cm未満のものは不燃ごみ。"
"974","朝霞市","食器洗浄機","","","","○","","","","◎","","","○","作り付けのものは不可。","50cm未満のものは不燃ごみ。"
"975","朝霞市","食器棚(キッチンボード)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"976","朝霞市","食器棚シート","","","◎","","","","","","","","","","50cm未満に切ってください。"
"977","朝霞市","燭台(しょくだい)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"978","朝霞市","除針器(リムーバー)","手動式","","","◎","","","","","","","","","電池を取り外してください。"
"979","朝霞市","除針器(リムーバー)","電池式","","","◎","","","","","☆","","","","電池を取り外してください。"
"980","朝霞市","ショッピングカー","","","","","","","","◎","","","○","ショッピングカートは不可。",""
"981","朝霞市","ショッピングカート","店舗用等","","","","","","","","","","◎","",""
"982","朝霞市","助燃剤(着火剤)","アウトドア用固形燃料","","","","","","","","","◎","","","本来の用途で使い切ってください。どうしても使い切れない場合はクリーンセンターへ直接お持ちください。"
"983","朝霞市","ショルダーバッグ","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
